timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,DCM_SteeringAngle,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W,Velocity
85.26704999999995,-122.8,-108,-63.4,-57.4,7.5,59.838,16.06,-15.58203125,9.5546875,-18870,53.19480744
85.28371999999995,-127.4,-104.8,-67.9,-52.5,9.07,61.58,21.12,-13.85546875,9.234375,-24132,52.55357757
85.30038999999995,-131.8,-102.6,-71.5,-51.5,10.61,67.1,26.330000000000002,-12.875,8.6015625,-24132,51.9721996
85.31705999999996,-132.9,-112,-84.6,-56.4,11,69.166,30.88,-9.7890625,10.71484375,-24506,51.27834658
85.33372999999995,-135.8,-103,-90.8,-51,11.85,69.63,35.87,-11.60546875,10.0234375,-24506,50.59552267
85.35039999999995,-134.9,-95.2,-93.3,-48.6,15.09,68.866,39.45,-15.421875,10.08203125,-25405,49.92040931
85.36706999999996,-136,-83.5,-86.8,-42.9,18.36,61.068,42.04,-15.359375,9.578125,-25405,49.2726883
85.38373999999995,-133.1,-57.8,-72.4,-28,19,54.564,43.74,-15.15625,7.8984375,-23070,48.64584426
85.40040999999995,-105.9,-37.8,-55.4,-20.3,18.61,51.026,44.22,-15.6171875,8.40625,-23070,48.12071612
85.41707999999996,-96.4,-33.9,-54.5,-18.3,18.54,48.494,44.300000000000004,-16.3515625,8.08203125,-16424,47.53218194
85.43374999999995,-91.3,-34.2,-52.7,-17.5,17.5,38.812,44.24,-18.21875,8.1015625,-12055,46.85233327
85.45041999999995,-49.8,-20.6,-29.8,-13.8,17.87,21.830000000000002,44.27,-15.34375,5.2734375,-12055,46.34662078
85.46708999999996,-11.3,-5.1,-9.4,-4.6,17.5,5.872,44.15,-16.97265625,3.46484375,-8290,45.91357795
85.48375999999995,0.2,0.8,-0.6,-0.8,20.94,0.332,43.31,-19.54296875,2.828125,-8290,46.74009462
85.50042999999995,5.300000000000001,0.5,6.1000000000000005,1.4000000000000001,27.46,0,41.06,-18.390625,3.09765625,-276,46.36487929
85.51709999999996,25.900000000000002,52.900000000000006,33.5,87.5,37.85,0,36.800000000000004,-19.94140625,0.375,-276,46.0665178
85.53376999999995,32.4,76.2,70.8,84.10000000000001,46.79,0,31.310000000000002,-13.61328125,-5.33984375,4546,46.16357
85.55043999999995,46.7,93.9,77.9,102.7,51.5,0,26.53,-14.484375,-7.15234375,25629,46.28476143
85.56710999999996,56.5,98.7,95.2,165.5,51.5,0,23.53,-16.66796875,-8.14453125,25629,46.56783233
85.58377999999995,61.5,97.5,120.9,161.9,50.42,0,22.52,-15.421875,-8.92578125,32556,46.87113734
85.60044999999995,64.4,94.2,143.70000000000002,175.3,48.5,0.096,22.82,-15.953125,-7.640625,32556,47.06884917
85.61711999999996,58.300000000000004,89.80000000000001,140.5,182.9,47.58,0.038,23.21,-15.7265625,-6.33984375,38399,47.38217005
85.63378999999995,56.800000000000004,88.10000000000001,137.20000000000002,157.5,47.79,0,24.64,-14.015625,-7.38671875,38399,47.62365648
