timestamps,DCM_APPS_Throttle,DCM_Brake_Recu,DCM_SteeringAngle,Gyro_Movella_Acc_Y,Gyro_Movella_Acc_X,HV_CurrentSensor_W,Groundspeed_Vel,AMK_Torque_FL,AMK_Torque_RL,AMK_Torque_RR,AMK_Torque_FR
1.066624,0,0,1.12,-0.34765625,0.2421875,324,0,0,0.03125,0.0625,0.03125
1.08329,0,0,1.08,-0.51171875,0.06640625,321,0,0,0.03125,0.0625,0.03125
1.099956,0,0,1.05,-0.45703125,0.1875,321,0,0,0.03125,0.0625,0.03125
1.116622,0,0,1.1,-0.3671875,0.265625,321,0,0,0.03125,0.0625,0.03125
1.133288,0,0,1.2,-0.34765625,0.24609375,321,0,0,0.03125,0.0625,0.03125
1.149954,0,0,1.05,-0.421875,0.2890625,321,0,0,0.03125,0.0625,0.03125
1.16662,0,0,1.19,-0.50390625,0.33984375,321,0,0,0.03125,0.0625,0.03125
1.183286,0,0,1.17,-0.3984375,0.14453125,321,0,0,0.03125,0.0625,0.03125
1.1999520000000001,0,0,1.09,-0.3671875,0.01953125,321,0,0,0.03125,0.0625,0.03125
1.216618,0,0,1.05,-0.328125,0.17578125,321,0,0,0.03125,0.0625,0.03125
1.233284,0,0,1.06,-0.3359375,0.19140625,318,0,0,0.03125,0.0625,0.03125
1.2499500000000001,0,0,1.1400000000000001,-0.328125,0.11328125,320,0,0,0.03125,0.0625,0.03125
1.266616,0,0,1.1400000000000001,-0.26171875,0.09765625,320,0,0,0.03125,0.0625,0.03125
1.283282,0,0,1.2,-0.3671875,0.16015625,324,0,0,0.03125,0.0625,0.03125
1.299948,0,0,1.09,-0.40234375,0.0390625,324,0,0,0.03125,0.0625,0.03125
1.316614,0,0,0.99,-0.34765625,-0.0234375,324,0,0,0.03125,0.0625,0.03125
1.33328,0,0,1.05,-0.25390625,0.078125,324,0,0,0.03125,0.0625,0.03125
1.349946,0,0,1.05,-0.27734375,0.21875,325,0,0,0.03125,0.0625,0.03125
1.366612,0,0,1.05,-0.5234375,0.33203125,325,0,0,0.03125,0.0625,0.03125
1.383278,0,0,1.1,-0.47265625,0.23828125,325,0,0,0.03125,0.0625,0.03125
1.399944,0,0,1.09,-0.390625,0.16015625,318,0,0,0.03125,0.09375,0.03125
1.41661,0,0,1.05,-0.41796875,0.171875,318,0,0,0.03125,0.0625,0.03125
1.433276,0,0,1.05,-0.421875,0.2734375,323,0,0,0.03125,0.0625,0.03125
1.449942,0,0,1.05,-0.37890625,0.25,323,0,0,0.03125,0.0625,0.03125
1.466608,0,0,1.12,-0.390625,0.34375,318,0,0,0.03125,0.0625,0.03125
1.483274,0,0,1.08,-0.390625,0.30859375,318,0,0,0.03125,0.0625,0.03125
1.49994,0,0,1.05,-0.4609375,0.1640625,319,0,0,0.03125,0.0625,0.03125
1.5166060000000001,0,0,1.07,-0.3671875,-0.0234375,319,0,0,0.03125,0.0625,0.03125
1.533272,0,0,1.1400000000000001,-0.296875,-0.171875,316,0,0,0.03125,0.0625,0.03125
1.549938,0,0,1.1400000000000001,-0.25,0.078125,315,0,0,0.03125,0.0625,0.03125
1.566604,0,0,1.06,-0.35546875,0.171875,315,0,0,0.03125,0.0625,0.03125
1.58327,0,0,1.1,-0.3984375,-0.015625,320,0,0,0.03125,0.0625,0.03125
1.599936,0,0,1.09,-0.3359375,0.01171875,320,0,0,0.03125,0.0625,0.03125
1.616602,0,0,1.05,-0.33984375,0.03125,320,0,0,0.03125,0.0625,0.03125
1.633268,0,0,1.06,-0.37109375,-0.03515625,320,0,0,0.03125,0.0625,0.03125
1.649934,0,0,1.1300000000000001,-0.3828125,0.12890625,320,0,0,0.03125,0.0625,0.03125
1.6666,0,0,1.06,-0.2890625,0.21484375,320,0,0,0.03125,0.0625,0.03125
1.683266,0,0,1.05,-0.30859375,0.39453125,323,0,0,0.03125,0.0625,0.03125
1.699932,0.5,0,1.05,-0.49609375,0.2578125,322,0,0,0.03125,0.0625,0.03125
1.716598,11.1,0,1.05,-0.4609375,0.19140625,322,0,0.90625,1.375,1.40625,0.9375
1.7332640000000001,24.69,0,1.09,-1.0078125,-5.61328125,321,0.30000000000000004,3.0625,4.5625,4.6875,3.125
1.74993,35.31,0,1.33,-0.45703125,-7.34765625,321,0.6000000000000001,5.65625,8.40625,8.53125,5.75
1.766596,41,0,1.4000000000000001,-0.31640625,-8.16796875,610,1,6.9375,10.28125,10.5625,7.125
1.7832620000000001,45,0,1.53,-0.57421875,-8.5390625,610,1.5,7.65625,11.40625,11.78125,7.90625
