timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,Groundspeed_Vel,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W
1.3836,-0.1,-0.1,0,0,0,5.7,0,-0.4,-0.4,121
1.4003,-0.1,0,0,0,0,5.6,0,-0.4,-0.4,121
1.4169,0,0,-0.2,0,0,5.6,0,-0.4,-0.4,121
1.4336,0,-0.1,0,0,0,5.7,0,-0.3,-0.3,121
1.4503,0,0,-0.1,-0.1,0,5.8,0,-0.4,-0.4,121
1.467,-0.1,0,0,0,0,5.8,0,-0.5,-0.5,121
1.4836,-0.1,0,-0.1,0,0,5.8,0,-0.4,-0.4,121
1.5003,0,0,0,0,0,5.8,0,-0.4,-0.4,121
1.517,0,0,0,0,0,5.7,0,-0.3,-0.3,121
1.5336,0,-0.1,0,-0.1,0,5.5,0,-0.4,-0.4,121
1.5503,0,-0.1,0,-0.2,0,5,0,-0.4,-0.4,121
1.567,0,-0.1,0,-0.2,0,5.2,0,-0.4,-0.4,121
1.5836,0,0,0,0,0,5.4,0,-0.4,-0.4,121
1.6003,0,-0.1,0,-0.1,0,5.7,0,-0.4,-0.4,121
1.617,-0.1,0,-0.1,0,0,5.9,0,-0.5,-0.5,121
1.6337,0,0,0,-0.2,0,6.6,0,-0.4,-0.4,121
1.6503,0,0,0,0,0,7,0,-0.3,-0.3,121
1.667,0,-0.1,0,0,0,7.5,0,-0.3,-0.3,121
1.6837,0,-0.1,0,0,0,8,0,-0.4,-0.4,121
1.7003,-0.1,0,0,0,0,8.7,0,-0.4,-0.4,121
1.717,0,-0.1,0,0,0,9.1,0,-0.3,-0.3,121
1.7337,0,0,0,0,0,9.1,0,-0.3,-0.3,121
1.7503,-0.1,0,-0.1,0,0,9,0,-0.4,-0.4,122
1.767,0,0,-0.1,0,0,8.9,0,-0.4,-0.4,121
1.7837,0,0,0,0,0,8.8,0,-0.4,-0.4,121
1.8004,0,0,0,-0.1,0,8.5,0,-0.3,-0.3,121
1.817,0,0,0,0,0,8.5,0,-0.4,-0.4,121
1.8337,-0.1,0,-0.1,0,0,8.2,0,-0.4,-0.4,122
1.8504,0,-0.1,0,0,0,8.4,0,-0.4,-0.4,122
1.867,0,-0.1,0,0,0,8,0,-0.4,-0.4,121
1.8837,0,-0.1,-0.1,0,0,7.9,0,-0.4,-0.4,121
1.9004,-0.1,0,-0.1,0,0,7.7,0,-0.5,-0.5,121
1.917,0,0,0,0,0,7.9,0,-0.5,-0.5,122
1.9337,0,0,0,0,0,8.2,0,-0.4,-0.4,122
1.9504,-0.1,0,0,0,0,8,0,-0.3,-0.3,122
1.9671,0,0,0,0,0,8.2,0,-0.3,-0.3,122
1.9837,-0.1,0,0,-0.2,0,7.8,0,-0.4,-0.4,121
2.0004,-0.1,0,0,0,0,6.8,0,-0.4,-0.4,121
2.0171,-0.1,-0.1,0,0,0,5.9,0,-0.3,-0.3,122
2.0337,0,0,0,0,0,4.7,0,-0.4,-0.4,122
2.0504,0,0,0,0,0,3.1,0,-0.4,-0.4,122
2.0671,0.1,-0.1,0,-0.1,0,1.7,0,-0.5,-0.5,122
2.0837,0,0,0,0,0,0.8,0,-0.4,-0.4,122
2.1004,0,0,0,0,0,0,0,-0.4,-0.4,122
2.1171,-0.2,0,-0.1,0,0,0,0,-0.4,-0.4,122
2.1338,0,-0.1,-0.1,-0.1,0,0,0,-0.4,-0.4,122
2.1504,0,0,0,0,0,0,0,-0.3,-0.3,122
2.1671,0,0,0,0,0,0,0,-0.3,-0.3,122
2.1838,0,-0.1,-0.1,0,0,0,0,-0.4,-0.4,122
2.2004,-0.1,-0.1,0,0,0,0,0,-0.5,-0.5,122
2.2171,0,0,0,-0.1,0,0,0,-0.5,-0.5,123
2.2338,0,0,-0.1,-0.1,0,0,0,-0.4,-0.4,122
2.2504,-0.1,-0.1,0,-0.1,0,0,0,-0.4,-0.4,122
2.2671,-0.2,0,0,0,0,0,0,-0.4,-0.4,121
2.2838,0,0,0,0,0,0,0,-0.5,-0.5,122
2.3005,-0.6,0,0,0,0,0,0,-0.4,-0.4,122
2.3171,-0.1,-0.1,0,0,0,0,0,-0.4,-0.4,122
2.3338,0,-0.1,0,0,0,0,0,-0.4,-0.4,122
2.3505,0,0,-0.1,0,0,0,0,-0.4,-0.4,122
2.3671,0,-0.1,-0.1,0,0,0,0,-0.3,-0.3,121
2.3838,-0.1,0,-0.1,-0.1,0,0,0,-0.3,-0.3,122
2.4005,0,0,-0.1,0,0,0,0,-0.3,-0.3,122
2.4171,0,0,0,0,0,0,0,-0.4,-0.4,123
2.4338,0,0,-0.2,0,0,0,0,-0.4,-0.4,123
2.4505,0,0,0,0,0,0,0,-0.3,-0.3,122
2.4672,-0.1,0,0,0,0,0,0,-0.4,-0.4,122
2.4838,-0.1,-0.2,0,-0.1,0,0,0,-0.4,-0.4,122
2.5005,0,0,0,-0.1,0,0,0,-0.5,-0.5,122
2.5172,0,-0.2,0,0,0,0,0,-0.4,-0.4,121
2.5338,0,0,0,0,0,0.2,0,-0.4,-0.4,121
2.5505,0,0,0,0,0,0.5,0,-0.4,-0.4,121
2.5672,0,0,0,-0.1,0,0.8,0,-0.4,-0.4,121
2.5838,0,0,0,0,0,1.2,0,-0.3,-0.3,121
2.6005,0,-0.1,0,0,0,1.5,0,-0.3,-0.3,121
2.6172,-0.1,-0.1,0,0,0,2,0,-0.3,-0.3,121
2.6339,-0.2,0,0,0,0,2,0,-0.4,-0.4,120
2.6505,0,0,0,0,0,1.9,0,-0.4,-0.4,120
2.6672,0,0,0,-0.1,0,1.8,0,-0.3,-0.3,121
2.6839,0,-0.1,0,0,0,2.1,0,-0.4,-0.4,121
2.7005,-0.3,0,0,0,0,2,0,-0.5,-0.5,120
2.7172,-0.1,-0.1,0,0,0,2,0,-0.5,-0.5,120
2.7339,0,0,0,-0.1,0,2.3,0,-0.4,-0.4,121
2.7505,0,0,0,-0.1,0,2.2,0,-0.4,-0.4,121
2.7672,-0.1,0,0,-0.1,0,1.8,0,-0.4,-0.4,121
2.7839,-0.1,0,0,0,0,1.6,0,-0.4,-0.4,121
2.8006,0,0,0,-0.1,0,1.4,0,-0.4,-0.4,121
2.8172,0,0,-0.1,-0.1,0,1.9,0,-0.4,-0.4,121
2.8339,-0.1,-0.1,0,-0.2,0,1.6,0,-0.4,-0.4,121
2.8506,0,0,0,-0.1,0,2,0,-0.4,-0.4,121
2.8672,0,0,-0.1,0,0,1.8,0,-0.4,-0.4,121
2.8839,-0.1,0,0,0,0,1.8,0,-0.4,-0.4,121
2.9006,0,0,0,0,0,2.5,0,-0.4,-0.4,121
2.9172,-0.1,0,0,-0.1,0,2.3,0,-0.5,-0.5,121
2.9339,-0.2,0,0,-0.1,0,2.2,0,-0.5,-0.5,121
2.9506,-0.1,0,0,0,0,2.2,0,-0.4,-0.4,121
2.9673,0,0,0,0,0,2.2,0,-0.3,-0.3,121
2.9839,0,0,-0.1,-0.1,0,2.1,0,-0.4,-0.4,120
3.0006,0,0,0,0,0,1.9,0,-0.4,-0.4,120
3.0173,0,-0.2,-0.1,0,0,1.7,0,-0.3,-0.3,120
3.0339,-0.1,0,0,-0.1,0,1.9,0,-0.3,-0.3,120
3.0506,0,-0.1,0,0,0,1.5,0,-0.4,-0.4,121
3.0673,0,0,-0.1,-0.1,0,1.2,0,-0.4,-0.4,121
3.0839,-0.1,-0.1,0,0,0,1.3,0,-0.4,-0.4,120
3.1006,-0.1,0,0,-0.1,0,1.2,0,-0.4,-0.4,119
3.1173,0,0,0,0,0,0.8,0,-0.5,-0.5,119
3.134,-0.1,0,0,0,0,0.5,0,-0.5,-0.5,118
3.1506,0.1,0,-0.1,0,0,0.3,0,-0.4,-0.4,118
3.1673,0,0,0,0,0,0.1,0,-0.4,-0.4,118
3.184,-0.1,0,0,0,0,0,0,-0.4,-0.4,118
3.2006,-0.2,-0.1,0,-0.1,0,0,0,-0.4,-0.4,118
3.2173,0,0,0,0,0,0,0,-0.3,-0.3,118
3.234,0,0,0,0,0,0,0,-0.3,-0.3,117
3.2506,0,0,0,-0.2,0,0,0,-0.4,-0.4,117
3.2673,-0.1,0,0,0,0,0,0,-0.4,-0.4,117
3.284,-0.1,0,0,-0.1,0,0,0,-0.4,-0.4,117
3.3007,0,0,0,0,0,0,0,-0.4,-0.4,117
3.3173,0,0,-0.1,-0.1,0,0,0,-0.4,-0.4,118
3.334,-0.1,-0.1,0,-0.2,0,0.1,0,-0.4,-0.4,118
3.3507,0.1,0,0,-0.1,0,0.3,0,-0.4,-0.4,118
3.3673,-0.1,-0.1,0,-0.1,0,0,0,-0.4,-0.4,118
3.384,0,0,0,-0.1,0,0.1,0,-0.5,-0.5,118
3.4007,0,-0.1,0,-0.1,0,0,0,-0.5,-0.5,118
3.4173,0,0,-0.1,-0.1,0,0,0,-0.4,-0.4,118
3.434,0,0,0,0,0,0,0,-0.4,-0.4,118
3.4507,-0.2,0,-0.1,0,0,0,0,-0.4,-0.4,118
3.4674,0,0,0,0,0,0,0,-0.4,-0.4,118
3.484,0,0,-0.2,-0.2,0,0,0,-0.4,-0.4,118
3.5007,0,-0.1,0,-0.3,0,0,0,-0.4,-0.4,117
3.5174,-0.1,0,-0.1,0,0,0,0,-0.5,-0.5,117
3.534,-0.1,0,0,0,0,0,0,-0.4,-0.4,117
3.5507,-0.1,-0.1,-0.2,0,0,0,0,-0.4,-0.4,117
3.5674,0,0,0,-0.1,0,0,0,-0.4,-0.4,117
3.584,-0.1,0,0,0,0,0,0,-0.4,-0.4,118
3.6007,-0.2,0,0,-0.1,0,0,0,-0.4,-0.4,118
3.6174,-0.1,0,0,0,0,0,0,-0.3,-0.3,118
3.6341,0,0,0,-0.1,0,0,0,-0.4,-0.4,118
3.6507,-0.1,0,0,0,0,0,0,-0.4,-0.4,118
3.6674,-0.2,0,0,0,0,0,0,-0.3,-0.3,119
3.6841,-0.1,-0.1,-0.1,-0.1,0,0,0,-0.3,-0.3,119
3.7007,-0.1,-0.1,0,0,0,0,0,-0.3,-0.3,120
3.7174,-0.1,0,-0.1,0,0,0,0,-0.4,-0.4,120
3.7341,0,0,-0.1,0,0,0,0,-0.4,-0.4,120
3.7507,-0.1,-0.1,0,0,0,0,0,-0.4,-0.4,120
3.7674,-0.1,-0.1,-0.1,0,0,0,0,-0.4,-0.4,120
3.7841,-0.1,0,0,-0.1,0,0,0,-0.3,-0.3,119
3.8008,-0.1,-0.1,-0.1,0,0,0,0,-0.2,-0.2,119
3.8174,-0.1,-0.1,-0.1,-0.1,0,0,0,-0.3,-0.3,119
3.8341,-0.1,0,0,0,0,0,0,-0.4,-0.4,119
3.8508,0,0,0,0,0,0,0,-0.3,-0.3,119
3.8674,0,-0.1,0,-0.1,0,0,0,-0.3,-0.3,119
3.8841,0,0,0,-0.2,0,0.2,0,-0.4,-0.4,119
3.9008,0,-0.1,0,-0.1,0,0,0,-0.4,-0.4,120
3.9175,0,0,0,0,0,0.1,0,-0.4,-0.4,121
3.9341,0,-0.2,0,0,0,0.1,0,-0.4,-0.4,122
3.9508,0,0,0,0,0,0,0,-0.4,-0.4,122
3.9675,0,0,0,0,0,0,0,-0.3,-0.3,122
3.9841,-0.2,-0.1,0,-0.2,0,0,0,-0.3,-0.3,122
4.0008,0,-0.1,0,0,0,0,0,-0.4,-0.4,122
4.0175,0,0,0,0,0,0,0,-0.5,-0.5,122
